DEPTH,BS,CALI,DDEN,DEN,DT,GR,NPHI,PEF,RDEEP,RMED,RSHAL
4639,8.5,11.8949,-0.0003,2.4484,76.6856,76.2296,0.1398,2.145,36.9197,30.4932,8.5993
4639.5,8.5,11.8611,0.0006,2.478,76.3926,85.8135,0.1379,2.1462,41.3548,34.4772,10.917
4640,8.5,11.8498,0.0012,2.4887,76.003,93.324,0.1412,2.1414,54.5662,43.5931,15.3671
4640.5,8.5,11.8273,0.0025,2.4788,76.581,92.5451,0.1417,2.0993,40.3591,33.709,14.8019
4641,8.5,11.816,0.0032,2.4439,78.3321,84.496,0.1525,2.0332,31.4291,25.4834,11.0896
4641.5,8.5,11.816,0.0038,2.4205,79.1512,71.8717,0.1522,1.9736,26.1052,22.6823,7.9298
4642,8.5,11.8498,0.0034,2.413,79.1488,63.9524,0.1461,1.9376,26.5434,22.436,7.7797
4642.5,8.5,11.8047,0.0026,2.4277,78.1706,61.0963,0.137,1.9214,26.8934,22.8578,8.3258
4643,8.5,11.7709,0.0014,2.4488,76.695,64.9119,0.1336,1.9239,26.2225,23.1312,8.9924
4643.5,8.5,11.7934,0.0004,2.4769,74.549,73.3504,0.13,1.9639,32.5318,27.8631,8.6561
4644,8.5,11.7934,-0.0006,2.4946,73.54,80.698,0.1289,2.043,50.9362,40.7882,11.1095
4644.5,8.5,11.7371,-0.0016,2.4943,72.6411,82.3215,0.1245,2.1099,56.6379,41.486,15.0417
4645,8.5,11.7333,-0.0018,2.4786,73.6807,78.4268,0.1278,2.1191,55.6979,38.1345,18.2757
4645.5,8.5,11.7258,-0.0011,2.4552,72.7855,74.0652,0.1138,2.0885,59.1778,37.5875,14.9644
4646,8.5,11.7596,0.0003,2.4352,73.7509,71.7598,0.1192,2.047,56.1647,34.504,12.2933
4646.5,8.5,11.8836,0.0031,2.426,74.0329,66.0475,0.1189,2.0382,60.9087,35.2152,8.7927
4647,8.5,11.8498,0.0068,2.4351,72.819,59.2967,0.1171,2.041,63.5595,35.4251,8.37
4647.5,8.5,11.7596,0.0078,2.4411,73.3499,53.747,0.1112,2.0417,62.5414,33.3527,8.4232
4648,8.5,11.7032,0.0052,2.4425,72.6719,56.256,0.1046,2.03,64.3392,32.0394,10.4598
4648.5,8.5,11.6807,0.0013,2.4406,72.3273,56.9051,0.107,2.0091,68.1209,31.3555,11.1503
4649,8.5,11.6356,-0.0018,2.4313,71.7671,57.9325,0.107,2.0122,73.6752,32.0177,12.5507
4649.5,8.5,11.613,-0.0024,2.4301,71.5296,53.9954,0.1062,2.0007,78.3143,32.4596,13.8033
4650,8.5,11.613,-0.0019,2.4188,71.5817,51.7884,0.1043,1.9812,70.9535,29.3351,13.1056
4650.5,8.5,11.5679,0.0002,2.42,72.3639,51.4102,0.1018,1.9458,67.398,27.536,10.6095
4651,8.5,11.5454,0.0013,2.4114,73.8176,53.747,0.1019,1.9329,60.7516,25.2591,8.4419
4651.5,8.5,11.5228,0.0018,2.4138,74.6435,53.5211,0.1077,1.9332,58.652,24.7069,8.2172
4652,8.5,11.5003,0.0016,2.4097,75.2825,52.872,0.1147,1.9497,54.8103,23.7812,8.9463
4652.5,8.5,11.5003,0.0012,2.4127,75.3344,58.5705,0.1156,1.9653,45.8001,21.1498,9.551
4653,8.5,11.5003,0.0001,2.4073,75.9375,66.7157,0.1226,1.9971,42.9337,20.4288,9.0752
4653.5,8.5,11.5003,-0.0009,2.4095,75.8029,70.9999,0.1249,2.0275,42.2119,20.7639,9.0928
4654,8.5,11.5115,-0.001,2.4156,76.1434,73.2206,0.1274,2.0299,40.6322,20.2997,9.1007
4654.5,8.5,11.5604,-0.0007,2.4205,76.3922,75.1679,0.1282,2.0117,39.2237,20.1457,8.3423
4655,8.5,11.5905,0.0002,2.4247,76.3953,82.3392,0.1356,1.9759,38.3481,20.2406,7.7254
4655.5,8.5,11.6243,0.0003,2.412,76.6436,79.2904,0.1403,1.9599,36.4572,19.9204,7.9696
4656,8.5,11.6581,0.0002,2.4026,75.8869,74.6332,0.137,1.9515,37.9092,21.1985,8.0721
4656.5,8.5,11.6807,0.0003,2.4043,75.6023,65.2431,0.13,1.9445,41.8577,23.6558,8.8445
4657,8.5,11.7709,0.0007,2.4194,75.1771,62.7095,0.1312,1.9438,45.0225,25.3836,9.0374
4657.5,8.5,11.6807,0.0006,2.428,75.8592,64.9001,0.1338,1.9593,42.7729,24.9171,9.5728
4658,8.5,11.7183,-0.0002,2.4225,76.4166,66.5996,0.1417,1.9892,36.3279,22.3762,8.4783
4658.5,8.5,11.7483,-0.0003,2.4151,76.0521,66.9477,0.149,2.0095,35.6184,22.3129,7.9748
4659,8.5,11.816,0.0009,2.4163,76.6546,59.8074,0.1461,2.0092,42.2124,26.9328,8.3785
4659.5,8.5,11.8836,0.0027,2.4255,76.1229,58.1197,0.1386,2.004,40.1278,26.6543,8.147
4660,8.5,11.8836,0.0016,2.4202,76.0801,57.1224,0.1273,2.0213,35.1706,24.1757,8.0967
4660.5,8.5,11.8611,-0.001,2.4243,76.9466,61.1349,0.1341,2.0382,38.089,26.3952,8.2591
