Northing,Easthing,Elevation
3623718,392122,1239
3621718,376322,1256
3624168,361222,1237
3665968,362972,1534
3625068,371722,1192
3632518,364072,1084
3659718,379022,1254
3626168,385522,1165
3631368,365622,1086
3656868,417522,922
3640568,396522,985
3638368,405522,1050
3661468,407072,915
3647918,382322,1366
3640218,374522,1098
3653318,406422,882
3664618,408272,920
3632618,400872,1123
3643468,377022,1085
3648618,398572,935
3656818,396422,988
3636718,364422,1149
3624468,407422,1219
3650468,404372,898
3631868,393672,1095
3629518,385872,1130
3661468,410922,881
3657968,388422,1062
3627068,365322,1158
3655468,405372,895
3663018,379222,1255
3636318,415122,1095
3665018,371572,1370
3645018,397572,946
3636418,397122,1030
3644018,373622,1142
3660668,412672,878
3635418,395172,1029
3624818,408572,1226
3664618,389372,1143
3644818,387722,1054
3632668,406272,1120
3657668,402172,928
3622318,409772,1301
3619918,394772,1315
3639868,412272,1058
3656018,365622,1589
3629268,364822,1124
3664768,417172,860
3647318,413572,985
3646668,412472,985
3651468,408622,900
3632918,411072,1144
3627768,406972,1181
3660068,380322,1223
3640318,388122,1079
3644868,416172,1010
3637268,374822,1055
3630718,408622,1139
3624118,382472,1179
3665318,416772,857
3651068,368322,1640
3629318,377322,1093
3630368,368922,1092
3660918,363522,1609
3651868,411222,943
3651718,364622,1626
3645068,365772,1523
3621118,390672,1284
3640718,368322,1279
3633318,372922,1051
3646568,389522,1045
3628418,373372,1137
3646668,388572,1037
3639268,403972,1035
3632718,408872,1125
3665318,394372,1136
3629568,387022,1188
3652668,363872,1627
3626468,409022,1199
3660568,402372,958
3651918,403672,902
3642018,383872,1009
3637618,397772,1013
3659168,370822,1453
3637618,415672,1083
3649968,385772,1213
3632168,373922,1043
3623618,365172,1228
3625668,364372,1214
3639218,402422,1011
3619568,361222,1312
3653018,395672,983
3624368,383522,1190
3632168,374472,1049
3638768,386572,1087
3665068,390572,1156
3659018,406472,918
3619618,380522,1292
3645068,415972,1011
3647818,374872,1233
3623468,399772,1190
3640818,405122,1026
3649068,413672,967
3630168,415522,1175
3626768,406172,1201
3653468,391722,1285
3623018,388572,1252
3630768,377422,1083
3639018,417072,1071
3625668,395922,1198
3663168,382272,1140
3634418,416622,1128
3639768,405022,1040
3619918,362172,1303
3643818,412522,1017
3631718,377772,1074
3641118,386572,1026
3641918,368772,1296
3656468,407022,885
3642968,364522,1574
3634518,392572,1050
3642918,399622,960
3647368,386172,1090
3655068,381322,1186
3632318,404122,1129
3658218,396472,978
3635118,417472,1118
3657118,376622,1352
3624468,393072,1182
3658118,393522,1010
3638868,382572,991
3644818,416072,1012
3630768,369122,1086
3630568,413072,1169
3645168,410222,1006
3630768,385472,1099
3640868,415722,1044
3636018,375522,1027
3662918,364172,1613
3627968,379172,1142
3656818,384272,1152
3634818,381972,1028
3656618,371322,1632
3641668,382072,1023
3641518,410322,1029
3620318,405472,1318
3629218,404022,1167
3625768,404672,1210
3663018,387622,1090
3656168,409522,902
3655518,404622,899
3655768,377872,1299
3648618,401972,910
3651168,370322,1480
3623468,382122,1194
3651768,393572,1018
3653668,390822,1202
3640718,366872,1347
3659568,397372,976
3626368,365572,1179
3636318,384772,1065
3655818,405372,893
3663168,396772,1016
3653368,402122,903
3661918,364572,1603
3620268,369972,1276
3664068,363372,1536
3664568,376622,1299
3624768,385322,1187
3643118,396622,959
3628018,399822,1127
3634168,412672,1121
3646818,412672,979
3636718,400972,1023
3650118,364622,1515
3621618,406372,1276
3638668,417172,1076
3652718,413922,932
3645268,381672,1157
3655818,409722,908
3657968,414522,898
3651868,386522,1241
3626268,392222,1182
3658618,415872,896
3641918,396972,967
3648368,372372,1232
3641118,375622,1085
3658618,364122,1546
3619418,402672,1316
3626318,372522,1162
3660118,411072,877
3657368,398322,948
3649768,368422,1532
3626018,385172,1174
3659868,373972,1649
3646668,379972,1153
3631118,396022,1207
3656968,401072,927
3621868,385622,1256
3633618,415322,1140
3657618,411772,885
3623868,402372,1190
3652468,414122,938
3644568,394272,947
3659918,378722,1278
3645318,384822,1062
3659718,392372,1039
3644168,395772,935
3644268,404672,990
3658018,395222,1040
3638368,406572,1051
3643118,373172,1132
3636968,373572,1125
3661718,378822,1285
3652518,366972,1606
3642368,362622,1668
3626518,401422,1153
3665768,376572,1286
3631668,404772,1136
3656768,387522,1084
3631718,365922,1081
3652918,400172,953
3624318,413472,1258
3636418,375572,1038
3621618,395572,1271
3625168,373722,1188
3658618,373922,1826
3644618,370172,1240
3655568,377622,1326
3633718,409172,1118
3649768,365922,1548
3639268,365722,1301
3651668,404622,893
3658218,403872,925
3662168,365372,1575
3621918,374722,1243
3656018,409772,901
3665868,394422,1189
3636318,406622,1077
3656968,407322,888
3624768,406872,1215
3622168,394772,1276
3631018,406672,1142
3645118,371322,1196
3664668,391622,1154
3659468,382372,1167
3659568,413222,888
3633168,385422,1087
3637268,363922,1191
3651618,373422,1349
3649168,403272,914
3636968,413522,1084
3631368,367172,1102
3634818,382172,1037
3632218,387272,1113
3654918,383572,1142
3662668,397372,1001
3627318,417372,1214
3623618,363322,1238
3663068,363372,1569
3639868,388272,1111
3664918,406272,946
3625018,386622,1177
3656868,385622,1126
3664418,402672,998
3630218,407422,1144
3662168,397872,988
3642518,409672,1025
3623918,397772,1231
3649718,410622,965
