,depth,badhole,vsh,comp_ephi,sw,sand,res,pay
982,5091.0,1,0.37323,0.0820390359701493,0.6624953349093318,0,0,0
983,5091.5,1,0.3030435714285714,0.0877904774733475,0.6140670658311718,0,0,0
984,5092.0,1,0.32087642857142856,0.08486830819829419,0.5967183442203707,0,0,0
985,5092.5,1,0.3309478571428572,0.08216377408315566,0.7394218058104216,0,0,0
986,5093.0,1,0.29060071428571427,0.07990366361407253,0.614666838037442,0,0,0
987,5093.5,1,0.2124957142857143,0.07780247652452027,0.6260586427693768,0,0,0
988,5094.0,1,0.16358000000000003,0.08188990835820893,0.6266848535734457,0,0,0
989,5094.5,1,0.14508357142857145,0.08285389060767592,0.5618476024481878,1,1,1
990,5095.0,1,0.14449428571428571,0.08878461795309163,0.514395158766183,1,1,1
991,5095.5,1,0.11751928571428572,0.08898797877398723,0.529092182261644,1,1,1
992,5096.0,1,0.11539214285714285,0.09236871517057564,0.527686097575263,1,1,1
993,5096.5,1,0.12093,0.09190255686567167,0.6008936426007283,1,1,1
994,5097.0,1,0.16556357142857142,0.09638084821961623,0.6238154972059473,0,0,0
995,5097.5,1,0.2059742857142857,0.09473988899786778,0.6398416592261083,0,0,0
996,5098.0,1,0.21962285714285715,0.10195435206823028,0.601323769093748,0,0,0
997,5098.5,1,0.24159999999999998,0.10481891343283581,0.5887945595000578,0,0,0
998,5099.0,1,0.2515257142857143,0.10426910353944566,0.591575220440841,0,0,0
999,5099.5,1,0.31021,0.10424891149253727,0.5400388847840426,0,0,0
1000,5100.0,1,0.35062,0.09773638119402987,0.5848244975257001,0,0,0
1001,5100.5,1,0.35242999999999997,0.10609301208955228,0.6347433229501763,0,0,0
1002,5101.0,1,0.3482907142857143,0.10871772674840081,0.6016377406075115,0,0,0
1003,5101.5,1,0.31709714285714286,0.11089768136460557,0.5770016535930756,0,0,0
1004,5102.0,1,0.317475,0.11629310932835821,0.6077446719939739,0,0,0
1005,5102.5,1,0.2820492857142857,0.11127637444562898,0.6350200989737168,0,0,0
1006,5103.0,1,0.270765,0.1146457575373134,0.6186642972645462,0,0,0
1007,5103.5,1,0.22145714285714285,0.11771156375266528,0.6066141513138449,0,0,0
1008,5104.0,1,0.20141499999999998,0.11942409410447766,0.5948219562296976,0,0,0
1009,5104.5,1,0.16023642857142859,0.12573808610874196,0.535141882557232,0,0,0
1010,5105.0,0,0.17478999999999997,0.10060849606060605,0.6433207636446497,0,0,0
1011,5105.5,0,0.19109285714285715,0.09717996948051949,0.6631176934710641,0,0,0
1012,5106.0,0,0.22097785714285714,0.09558311054112556,0.6636678381345957,0,0,0
1013,5106.5,0,0.23588142857142858,0.09104498489177482,0.7003647948414,0,0,0
1014,5107.0,0,0.22526000000000002,0.09489211454545451,0.6640743781372377,0,0,0
1015,5107.5,0,0.215275,0.09582744924242417,0.6566242577213679,0,0,0
1016,5108.0,0,0.1904007142857143,0.09783571608225103,0.6354122186281929,0,0,0
1017,5108.5,0,0.17664357142857143,0.09631100222943714,0.669106085037106,0,0,0
1018,5109.0,0,0.1534792857142857,0.09702378816017307,0.6589157013877198,0,0,0
